,sFIPS,wf,cost,bass
1131,22017,1,0,0
1132,22019,0,0,0
1133,22021,0,0,0
1134,22023,0,0,0
1135,22025,0,0,0
1136,22027,0,0,0
1137,22029,0,0,0
1138,22031,0,0,0
1139,22033,1,1,0
1140,22035,0,0,0
1141,22037,0,0,0
1142,22039,0,0,0
1143,22041,0,0,0
1144,22043,0,0,0
1145,22045,0,0,0
1146,22047,0,0,0
1147,22049,0,0,0
1148,22051,1,0,0
1149,22053,0,0,0
1150,22055,1,1,0
1151,22057,0,0,0
1152,22059,0,0,0
1153,22061,0,0,0
1154,22063,0,0,1
1155,22065,0,0,0
1156,22067,0,0,0
1157,22069,0,0,0
1158,22071,1,1,0
1159,22073,0,0,0
1160,22075,0,0,0
1161,22077,0,0,0
1162,22079,0,0,0
1163,22081,0,0,0
1164,22083,0,0,0
1165,22085,0,0,0
1166,22087,0,0,0
1167,22089,0,0,0
1168,22091,0,0,0
1169,22093,0,0,0
1170,22095,0,0,0
1171,22097,0,0,0
1172,22099,0,0,0
1173,22101,0,0,0
1174,22103,1,0,0
1175,22105,0,0,0
1176,22107,0,0,0
1177,22109,0,0,0
1178,22111,0,0,0
1179,22113,0,0,0
1180,22115,0,0,0
1181,22117,0,0,0
1182,22119,0,0,0
1183,22121,0,0,0
1184,22123,0,0,0
1185,22125,0,0,0
1186,22127,0,0,0
1187,23001,0,0,0
1188,23003,0,0,0
1189,23005,1,0,0
1190,23007,0,0,0
1191,23009,0,0,0
1192,23011,0,0,0
1193,23013,0,0,0
1194,23015,0,0,0
1195,23017,0,0,0
1196,23019,0,0,0
1197,23021,0,0,0
1198,23023,0,0,0
1199,23025,0,0,0
1200,23027,0,0,0
1201,23029,0,0,0
1202,23031,0,0,1
1203,24001,0,0,0
1204,24003,1,1,0
1205,24005,0,1,0
1206,24009,0,0,0
1207,24011,0,0,0
1208,24013,0,0,0
1209,24015,0,0,0
1210,24017,0,0,0
1211,24019,0,0,0
1212,24021,0,1,0
1213,24023,0,0,0
1214,24025,0,0,0
1215,24027,1,1,1
1216,24029,0,0,0
1217,24031,1,1,0
1218,24033,0,1,0
1219,24035,0,0,0
1220,24037,0,0,0
1221,24039,0,0,0
1222,24041,0,0,0
1223,24043,0,0,0
1224,24045,0,0,0
1225,24047,0,0,0
1226,24510,1,0,0
1227,25001,1,0,0
1228,25003,0,0,0
1229,25005,0,0,0
1230,25007,0,0,0
1231,25009,1,1,0
1232,25011,0,0,0
1233,25013,0,1,0
1234,25015,1,0,0
1235,25017,1,1,0
1236,25019,0,0,0
1237,25021,1,1,1
1238,25023,1,0,0
1239,25025,1,1,0
1240,25027,0,0,1
1241,26001,0,0,0
1242,26003,0,0,0
1243,26005,0,0,0
